index,date,bedrooms_number,batchrooms_number,square_footage_home,square_footage_lot,floors_number,has_waterfront,has_been_viewed,condition_quality,housing_unity_grade,square_footage_except_basement,square_footage_only_basement,build_year,renovation_year,coordinate_latitude,coordinate_longitude,square_footage_home_old,square_footage_lot_old,target
0,2014-05-02,2,2.0,1350,2560,1.0,0,0,3,8,1350,0,1976,0,200.6344,4.8929999999999865,1790,2560,340.0
1,2014-05-02,3,1.75,1800,23103,1.0,0,0,3,7,1800,0,1968,0,200.6517,5.093999999999994,1410,18163,289.0
2,2014-05-02,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,1923,0,200.6954,4.707999999999998,1570,10578,755.0
3,2014-05-02,4,2.0,1820,5000,1.5,0,1,3,7,1640,180,1945,0,200.6815,4.731000000000009,2060,5000,655.0
4,2014-05-02,4,1.75,1560,8700,1.0,0,0,4,7,1560,0,1967,0,200.7274,4.819000000000003,2080,8000,387.5
5,2014-05-02,3,2.5,2540,5050,2.0,0,0,3,7,2540,0,2006,0,200.3358,4.944999999999993,2280,5050,305.0
6,2014-05-02,4,2.0,1480,8625,1.0,0,0,4,7,1480,0,1974,0,200.462,4.807000000000002,2130,8502,265.0
7,2014-05-02,3,1.0,1090,6435,1.0,0,0,4,7,1090,0,1955,0,200.5334,4.635000000000005,1340,6435,370.0
8,2014-05-02,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,1991,0,200.7419,4.795000000000002,2730,10872,617.5
9,2014-05-02,4,2.5,2200,9397,2.0,0,0,3,8,2200,0,1987,0,200.3406,4.731000000000009,2310,9176,290.0
10,2014-05-02,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,200.5443,4.822999999999993,1850,9000,445.0
11,2014-05-02,4,1.75,1600,6380,1.0,0,0,3,8,1130,470,1959,0,200.701,4.694000000000003,1090,6380,500.0
12,2014-05-02,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,1979,0,200.5794,4.974999999999994,2820,48351,680.0
13,2014-05-02,4,2.5,1940,10500,1.0,0,0,4,7,1140,800,1976,0,200.683,4.88600000000001,2200,10500,555.0
14,2014-05-02,3,2.5,1770,1235,3.0,0,0,3,8,1600,170,2007,0,200.6965,4.657999999999987,1680,1203,441.11
15,2014-05-02,3,2.5,2680,5539,2.0,0,0,3,8,2680,0,2013,0,200.4761,5.2660000000000045,2990,6037,464.99
16,2014-05-02,4,1.0,1450,8800,1.0,0,0,4,7,1450,0,1954,0,200.5746,4.864999999999995,1260,8942,440.0
17,2014-05-02,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,2014,0,200.7538,4.674999999999997,1300,8408,630.0
18,2014-05-02,4,2.5,3310,6500,2.0,0,0,3,8,3310,0,2012,0,200.515,5.1299999999999955,2380,5000,560.0
19,2014-05-02,2,1.0,880,6380,1.0,0,0,3,7,880,0,1938,1994,200.6924,4.677999999999997,1340,6380,495.0
20,2014-05-02,3,2.5,2090,10834,1.0,0,0,4,8,1360,730,1987,0,200.3537,4.697000000000003,1750,8595,290.0
21,2014-05-02,4,3.0,3110,7231,2.0,0,0,3,8,3110,0,1997,0,200.3279,4.8089999999999975,2820,7311,372.5
22,2014-05-02,3,3.25,1320,1327,2.0,0,0,3,8,1040,280,2008,0,200.6506,4.617000000000004,1440,1263,390.0
23,2014-05-02,2,2.5,1630,1368,2.0,0,0,3,7,1280,350,2009,0,200.5489,4.6370000000000005,1590,2306,300.0
24,2014-05-02,4,2.75,2710,37277,2.0,0,0,3,9,2710,0,2000,0,200.4634,5.012999999999991,2390,39299,635.0
25,2014-05-02,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,200.6552,4.722000000000008,2940,6600,1205.0
26,2014-05-02,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,200.6578,4.719999999999999,2470,4000,1405.0
27,2014-05-02,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,200.678,4.731000000000009,1910,6200,645.0
28,2014-05-02,4,1.5,1920,10000,1.0,0,0,4,7,1070,850,1954,0,200.5725,4.867000000000004,1450,10836,435.0
29,2014-05-02,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,200.7658,4.661000000000001,1480,7940,318.0
30,2014-05-02,3,1.5,1570,6700,1.0,0,0,4,7,1570,0,1956,0,200.6022,4.8660000000000005,1570,7300,424.0
31,2014-05-02,3,2.5,1930,10460,2.0,0,0,3,8,1930,0,1996,0,200.4938,4.838999999999999,2290,8228,412.5
32,2014-05-02,4,2.5,2710,35868,2.0,0,0,3,9,2710,0,1989,0,200.375,4.977999999999994,2780,36224,487.0
33,2014-05-02,3,1.5,1200,9720,1.0,0,0,4,7,1200,0,1965,0,200.4225,4.847000000000008,1380,10284,247.5
34,2014-05-02,5,2.5,3650,9050,2.0,0,4,5,10,3370,280,1921,0,200.6345,4.632999999999996,2880,5400,2389.0
35,2014-05-02,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,2007,0,200.5133,4.8900000000000015,2730,111274,630.0
36,2014-05-02,3,1.75,2360,7291,1.0,0,0,4,8,1360,1000,1948,0,200.5274,4.6160000000000005,1860,5499,620.0
37,2014-05-02,3,1.5,1180,10277,1.0,0,0,3,6,1180,0,1983,0,200.488,5.212999999999994,1680,11104,280.0
38,2014-05-02,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,1957,0,200.4419,4.659999999999997,1960,10518,408.0
39,2014-05-02,2,1.0,800,4850,1.0,0,0,4,7,800,0,1944,0,200.6639,4.63600000000001,1150,4365,445.0
40,2014-05-02,4,2.5,3310,42998,2.0,0,0,3,9,3310,0,2001,0,200.7232,4.869,3350,42847,843.0
41,2014-05-02,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,1968,0,200.2703,4.930999999999997,3000,125017,496.5
42,2014-05-02,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,200.6833,4.599999999999994,2380,4750,795.0
43,2014-05-02,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,1955,0,200.5714,4.592000000000013,2010,6550,755.0
44,2014-05-02,3,1.75,2330,14892,1.0,0,0,3,8,1970,360,1980,0,200.6267,4.9539999999999935,2570,14217,593.5
45,2014-05-02,3,3.0,1850,19966,1.0,0,0,4,7,1090,760,1992,0,200.3493,4.966000000000008,1410,6715,292.2
46,2014-05-02,3,1.75,1710,7320,1.0,0,0,3,7,1710,0,1948,0,200.7512,4.718999999999994,2260,8839,468.0
47,2014-05-02,3,2.25,1580,16215,1.0,0,0,4,7,1580,0,1978,0,200.5643,5.102999999999994,1450,16215,340.0
48,2014-05-02,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,200.6498,4.679000000000002,2410,3050,631.0
49,2014-05-02,2,1.0,850,6174,1.0,0,0,4,7,850,0,1950,0,200.7352,4.672000000000012,1100,6174,313.5
50,2014-05-02,3,2.5,2430,88426,1.0,0,0,4,7,1570,860,1985,0,200.4828,5.282000000000012,1560,56827,457.5
51,2014-05-02,3,2.25,2000,8030,1.0,0,0,4,8,1000,1000,1963,0,200.6188,4.88600000000001,2070,8250,425.0
52,2014-05-02,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,2004,0,200.7735,4.842000000000013,2860,3596,504.95
53,2014-05-02,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,200.5747,4.965000000000003,2590,37500,555.0
54,2014-05-02,3,2.5,1270,1180,3.0,0,0,3,8,1270,0,2001,0,200.6697,4.607999999999991,1320,1180,450.7
